Year,Month,Day,Hour,dayofweek,weekdayend,EnergyUse,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2019,1,1,0,Tuesday,day,161.84,45.3,45.3,45.2,99.83,0.064,100,rain,0,0,41.8,0.7,335,1008.2,100,1.3,0,0,0
2019,1,1,1,Tuesday,day,135.52,47.4,47.4,46.5,96.62,0.054,100,rain,0,0,45,1,336,1006.6,100,1.9,0,0,0
2019,1,1,2,Tuesday,day,151.48,48.5,46.1,46.8,93.76,0.012,100,rain,0,0,30,5.5,220,1004.8,100,1.3,0,0,0
2019,1,1,3,Tuesday,day,106.68,54.3,54.3,54.2,99.65,0.001,100,rain,0,0,25.8,13.5,230,1003.9,100,2.6,0,0,0
2019,1,1,4,Tuesday,day,103.6,57.1,57.1,56.1,96.28,0,0,,0,0,29.1,14.5,240,1003.5,100,9.9,0,0,0
2019,1,1,5,Tuesday,day,98,59,59,56.1,90.02,0,0,,0,0,20.1,10.7,241,1003.2,100,9.9,0,0,0
2019,1,1,6,Tuesday,day,95.76,58.9,58.9,55.2,87.43,0,0,,0,0,24.4,16.1,241,1003.9,54.1,9.9,0,0,0
2019,1,1,7,Tuesday,day,86.24,58.9,58.9,53.1,81.18,0.145,100,rain,0,0,37.4,7.4,240,1004.2,2.3,9.9,0,0,0
2019,1,1,8,Tuesday,day,69.72,60,60,51.1,72.64,0,0,,0,0,21.1,14,250,1005.1,84.3,9.9,19,0.1,0
2019,1,1,9,Tuesday,day,62.72,60.1,60.1,49.9,68.92,0,0,,0,0,21.1,11.8,252,1006.6,98.3,9.9,53,0.2,1
2019,1,1,10,Tuesday,day,51.52,60.1,60.1,47,62.09,0,0,,0,0,29,16.2,281,1008.4,28.7,9.9,87,0.3,1
2019,1,1,11,Tuesday,day,42.28,56.9,56.9,41.1,55.39,0,0,,0,0,34.8,21.2,282,1009.7,26.1,9.9,133,0.5,1
2019,1,1,12,Tuesday,day,23.24,56.8,56.8,39,51.31,0,0,,0,0,36.5,22.2,300,1009.8,26,9.9,166,0.6,2
2019,1,1,13,Tuesday,day,20.44,56,56,38.1,50.87,0,0,,0,0,29.5,18.9,310,1010.2,1.3,9.9,220,0.8,2
2019,1,1,14,Tuesday,day,53.2,56,56,37.1,49.02,0,0,,0,0,28.2,12.7,291,1011.7,84.3,9.9,322,1.2,3
2019,1,1,15,Tuesday,day,63.28,53.9,53.9,35.1,48.75,0,0,,0,0,27.7,17.8,300,1013.4,99.5,9.9,92,0.3,1
2019,1,1,16,Tuesday,day,82.88,52,52,34,50.22,0,0,,0,0,25.3,17.7,338,1015.1,83.3,9.9,52,0.2,1
