datetime,Year,Month,Day,dayofweek,weekdayend,NetEnergyUse,EnergyUseIn,EnergyUseOut,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
1/1/2019,2019,1,1,Tuesday,day,1564.85,1370.46,-194.39,60.1,42.8,52.6,60.1,38.8,51.6,42.2,69.5,0.276,100,20.83,rain,0,0,45,22.2,285.4,1010.9,71,8.5,48.4,4.3,3
1/2/2019,2019,1,2,Wednesday,day,1753.71,1640.03,-113.68,42.1,34.1,38.6,40.7,29.8,35.2,28.7,67.8,0,0,0,,0,0,16.3,10,100.5,1023.5,81.3,9.9,48,4.2,2
1/3/2019,2019,1,3,Thursday,day,1821.54,1820.21,-1.33,44.1,30.8,39.7,39.8,27.9,36.8,30.3,69.7,0,0,0,,0,0,25.7,13.5,322.1,1014.4,44.4,9.9,39.6,3.5,2
1/4/2019,2019,1,4,Friday,day,1744.54,1720.04,-24.5,46.1,28.1,37.8,44,22.2,34.7,30.9,76.5,0,0,0,,0,0,20.4,10.2,217.1,1013.8,13.2,9.3,42.1,3.6,2
1/5/2019,2019,1,5,Saturday,end,1841,1841,0,46.8,41,44.1,43.8,36.6,39.6,41.4,90.5,0.445,100,62.5,rain,0,0,25.3,13.4,3.1,1000.8,70.4,5.6,17.5,1.6,1
1/6/2019,2019,1,6,Sunday,end,2020.27,1656.41,-363.86,51.9,34,42.6,51.9,25,37.9,29.3,61.3,0,0,0,,0,0,33.1,19,307.2,1014.5,48.2,9.9,39.3,3.4,2
1/7/2019,2019,1,7,Monday,day,2028.11,1706.53,-321.58,34,26.8,31,34,16.8,25.4,13.7,49.2,0.001,100,4.17,"rain,snow",0,0,18.1,11,10.9,1029.2,20.7,9.9,41.7,3.7,3
1/8/2019,2019,1,8,Tuesday,day,2118.97,2118.97,0,42.1,31.9,37.2,41,26.4,34.3,34.5,90.1,0.238,100,16.67,"rain,snow",0,0,28.9,7.3,48.8,1013.8,89.7,4.8,20.7,1.9,1
1/9/2019,2019,1,9,Wednesday,day,2014.04,1625.89,-388.15,46.1,34,41.7,42.1,24.9,35,26.5,56.5,0.098,100,16.67,rain,0,0,32.4,18.4,293.5,1003.2,52.8,9.5,43.2,3.9,4
1/10/2019,2019,1,10,Thursday,day,1841,1805.16,-35.84,37,30.7,33.2,28.8,19.7,23.5,16.7,50.5,0,0,0,,0,0,34.7,24.4,306.4,1008.8,60.5,9.9,45.9,4.1,2
1/11/2019,2019,1,11,Friday,day,2107.84,1631.14,-476.7,33.1,21.8,27.8,24.7,9.6,18.1,6.7,41.4,0,0,0,,0,0,33,19.9,323.6,1023.7,14.1,9.9,49.6,4.2,4
1/12/2019,2019,1,12,Saturday,end,2016,1558.76,-457.24,33.1,19,26.8,32.9,13.3,23.9,7.9,45.2,0,0,0,,0,0,10.7,5.5,318.7,1032.4,38.6,9.9,43.3,3.9,3
1/13/2019,2019,1,13,Sunday,end,1992.55,1992.55,0,30.7,26,28.3,30.5,16.9,20.8,17,64.2,0.002,100,8.33,"rain,snow",0.7,0.7,21,13.6,41.5,1027.8,81.7,8.5,23.2,1.9,1
1/14/2019,2019,1,14,Monday,day,2163.63,1690.71,-472.92,34.9,21.6,26.8,34.9,9.1,19.3,12.2,54.5,0,0,0,,0,0.4,21.3,13.4,6.4,1022.9,17.1,9.9,54.6,4.6,4
1/15/2019,2019,1,15,Tuesday,day,2110.64,1738.94,-371.7,36,19.4,28.1,33,12.8,23.7,14.5,57.3,0,0,0,,0,0.1,14.5,11.3,305.7,1020.1,0.1,9.9,48.7,4.2,4
1/16/2019,2019,1,16,Wednesday,day,2240.7,2240.7,0,38,22.9,31.6,34.1,17.1,26.4,21.9,67.9,0,0,0,,0,0,27.3,9.2,258.7,1019.1,64,8.8,29.3,2.4,1
1/17/2019,2019,1,17,Thursday,day,1881.6,1773.94,-107.66,34.1,24.9,29.8,30.9,17.1,24.2,12.7,49.6,0,0,0,,0,0,17.2,9.2,38,1026.1,20.5,9.9,41.1,3.6,2
1/18/2019,2019,1,18,Friday,day,1932.49,1932.49,0,35.1,28.1,31.6,35.1,23.1,28.8,28.8,89.2,0.056,100,16.67,"rain,snow",0.2,0.2,13.2,5.8,320.1,1019.4,87.2,3.6,27.3,2.4,1
1/19/2019,2019,1,19,Saturday,end,1712.13,1712.13,0,38.9,29.8,34.6,33.7,24.5,30,26.9,74.3,0.387,100,16.67,rain,0,0.2,26.6,13.4,72.9,1019.7,92.5,8.1,28.5,2.4,1
1/20/2019,2019,1,20,Sunday,end,1774.92,1678.67,-96.25,43.2,16.1,32.4,41.6,-0.8,23.2,26.5,79.9,1.158,100,54.17,rain,0.2,0.7,35.8,21.7,337.3,999.4,74.8,7.8,26.1,2.1,1
1/21/2019,2019,1,21,Monday,day,2426.62,1673.98,-752.64,17,7.1,12.6,2.7,-11.3,-4,-6.6,41.9,0,0,0,,0,0.5,37.6,22.9,305.8,1020,8.2,9.9,63.7,5.5,4
1/22/2019,2019,1,22,Tuesday,day,2272.62,1691.2,-581.42,30.8,11.8,21.1,26.4,-1.2,12.5,3.2,46.7,0,0,0,,0,0.1,21.9,14,291.7,1035.8,0.3,9.9,65,5.6,5
1/23/2019,2019,1,23,Wednesday,day,2087.4,1973.44,-113.96,52.1,26.2,36.9,52.1,19.3,31.7,24.5,61.1,0,0,0,,0,0,34.4,13.8,188.1,1023.6,57.8,9.9,53.1,4.5,4
1/24/2019,2019,1,24,Thursday,day,2125.34,2125.34,0,60,35.8,51.6,60,28.6,49.6,47.2,85,0.956,100,66.67,rain,0,0,35.6,23.8,208.9,1001.7,91.3,7.8,11,1,1
1/25/2019,2019,1,25,Friday,day,1941.03,1580.18,-360.85,38.8,27.9,33.9,30.8,19.8,26.8,15.5,47.8,0,0,0,,0,0,26,18.3,274.8,1015.2,39.8,9.9,59.8,5.2,5
1/26/2019,2019,1,26,Saturday,end,1858.5,1532.79,-325.71,34.1,18.9,27.4,31.8,17.3,23.9,10.7,50,0,0,0,,0,0,17,8.1,190.7,1023.5,38,9.9,61.9,5.2,4
1/27/2019,2019,1,27,Sunday,end,1747.9,1506.75,-241.15,47.7,22.9,36.4,42,22.8,33.2,23.3,60.9,0,0,0,,0,0,29.1,14.7,215.2,1016.9,46.6,9.9,55.6,5,3
1/28/2019,2019,1,28,Monday,day,1771.77,1654.59,-117.18,35.9,21.8,28.4,31.8,15,22.8,10.9,47.9,0,0,0,,0,0,19.2,10.4,1.2,1017.4,0.3,9.9,68.7,5.9,3
1/29/2019,2019,1,29,Tuesday,day,2271.85,2271.85,0,41.9,19,31,37.6,14.6,26.9,24.2,76.3,0.227,100,37.5,"rain,snow",0,0,20.8,11,155.3,1012.4,71.4,8.4,32.4,2.8,1
1/30/2019,2019,1,30,Wednesday,day,2199.4,1896.3,-303.1,31.7,4.9,19.9,22.5,-11.2,7.4,4.2,50.7,0,0,0,,0,0.2,42.1,25.1,271.1,1015,15.4,9.3,61,5.1,5
1/31/2019,2019,1,31,Thursday,day,2190.3,1795.5,-394.8,16,2,8.8,11.5,-14.1,-3.1,-9.6,42.3,0,0,0,,0,0,23,16.7,269.7,1028.6,0.2,9.9,75.2,6.5,5
2/1/2019,2019,2,1,Friday,day,2045.82,2039.45,-6.37,17.8,7,12.9,17.8,-0.3,8.9,4.1,68.6,0.002,100,8.33,snow,0,0.2,11.4,5.7,267.5,1029.8,39.8,8.3,56.1,5,2
2/2/2019,2019,2,2,Saturday,end,2076.34,1726.55,-349.79,31.8,10.7,21.2,23.6,1.6,13.5,13.9,73.8,0,0,0,,0,0.2,24.8,13.7,240.6,1024.8,0.2,8,73.6,6.4,4
2/3/2019,2019,2,3,Sunday,end,1916.39,1532.37,-384.02,59,23.7,37.8,59,19.9,36.5,27.2,67.8,0,0,0,,0,0.1,14.8,7.6,227.8,1020.2,2.5,7.5,70.8,6.2,4
2/4/2019,2019,2,4,Monday,day,1887.34,1535.38,-351.96,62.8,29.8,44,62.8,26.7,43.6,32.5,65.7,0,0,0,,0,0,10.3,6.9,202.4,1017.4,1,8,76.1,6.6,5
2/5/2019,2019,2,5,Tuesday,day,1876.35,1558.2,-318.15,68.8,33.4,51.3,68.8,32.1,51,39.4,66.2,0,0,0,,0,0,19.7,11,290.9,1014.7,12.8,8.7,80.3,6.9,5
2/6/2019,2019,2,6,Wednesday,day,1769.67,1623.09,-146.58,50.9,36.6,43.9,50.9,34.3,41,33.4,67.8,0.286,100,20.83,rain,0,0,26.4,11,72.1,1019.9,45.7,8.9,55.5,4.9,4
2/7/2019,2019,2,7,Thursday,day,1947.54,1946.28,-1.26,47.6,40.4,44.4,46.7,35.1,40.8,39.6,83.5,0.104,100,12.5,rain,0,0,17.2,9.2,50.9,1017.1,98.4,7.3,44.1,3.9,2
2/8/2019,2019,2,8,Friday,day,2007.11,1897.98,-109.13,56.5,33.8,44.8,56.5,23.9,40.9,30.8,63.5,0.131,100,37.5,rain,0,0,38.9,19.9,282.5,1015.9,52.7,7.1,58.1,5,5
2/9/2019,2019,2,9,Saturday,end,2187.64,1520.89,-666.75,35.6,26.6,30.5,29.4,14.7,21.7,7,36.9,0,0,0,,0,0,36.3,22.4,319.8,1035.2,0,9.9,93.7,8,6
2/10/2019,2019,2,10,Sunday,end,1865.57,1553.51,-312.06,36.9,20.5,30.1,35.6,16,26.4,11.3,46.5,0,0,0,,0,0,16.8,9.1,287.2,1035.3,20.1,9.9,69.8,6,4
2/11/2019,2019,2,11,Monday,day,2114.63,2110.5,-4.13,38.5,30.5,34.5,38.5,26.2,31.9,24.8,68.1,0.046,100,33.33,"rain,snow",0.8,0.1,12.8,9,62.6,1025.9,86.1,7.1,48.2,4.1,2
2/12/2019,2019,2,12,Tuesday,day,2386.79,2386.79,0,38.7,31.8,34.7,33.3,21.4,27.4,28.5,78.1,0.616,100,70.83,"rain,snow",1.2,0.1,29.8,16.1,69.1,1019.9,90,4.8,20.4,1.9,1
2/13/2019,2019,2,13,Wednesday,day,2003.68,1957.13,-46.55,43.7,34.9,38.5,36.2,28.2,32.3,27.3,65.7,0.203,100,37.5,rain,0,0.7,34.3,22.9,271.1,1006.1,70.2,9.1,51.7,4.4,3
2/14/2019,2019,2,14,Thursday,day,1998.99,1537.34,-461.65,47.8,34.7,39.6,44,26.7,34.9,21.7,49.3,0,0,0,,0,0.5,22.4,12.8,253.2,1015.9,34.3,9.9,90.5,7.8,5
2/15/2019,2019,2,15,Friday,day,1866.2,1563.24,-302.96,62.9,39.8,52,62.9,36.2,50.5,35.8,54.8,0,0,0,,0,0.1,28,20.2,203,1006.6,54,9.9,68,5.8,5
2/16/2019,2019,2,16,Saturday,end,2096.5,1261.05,-835.45,49.8,31.8,41.1,45.2,23.9,35.5,18.9,41.2,0,0,0,,0,0,25.3,13.6,328.8,1010.9,9.2,9.9,103.4,9,6
