Year,Month,Day,EnergyUse,Temp
2019,1,1,2097.48,52.6
2019,1,2,4228.28,38.6
2019,1,3,4975.88,39.7
2019,1,4,4933.6,37.8
2019,1,5,4079.6,44.1
2019,1,6,4343.36,42.6
2019,1,7,5840.24,31
2019,1,8,4935.84,37.2
2019,1,9,4575.76,41.7
2019,1,10,5902.4,33.2
2019,1,11,6305.88,27.8
2019,1,12,6150.48,26.8
2019,1,13,6279.84,28.3
2019,1,14,6363.84,26.8
2019,1,15,6103.16,28.1
2019,1,16,6043.52,31.6
2019,1,17,6117.16,29.8
2019,1,18,5816.44,31.6
2019,1,19,5470.36,34.6
2019,1,20,5801.04,32.4
2019,1,21,8485.96,12.6
2019,1,22,7392,21.1
2019,1,23,5400.92,36.9
2019,1,24,3563.28,51.6
2019,1,25,5124.28,33.9
2019,1,26,6038.48,27.4
2019,1,27,5164.04,36.4
2019,1,28,6085.52,28.4
2019,1,29,6167,31
2019,1,30,7184.8,19.9
2019,1,31,8397.22,8.8
2019,2,1,8532.16,12.9
2019,2,2,7164.08,21.2
2019,2,3,5109.44,37.8
2019,2,4,4320.12,44
2019,2,5,3535,51.3
2019,2,6,4212.04,43.9
2019,2,7,4262.72,44.4
2019,2,8,4367.44,44.8
2019,2,9,5670,30.5
2019,2,10,6021.96,30.1
2019,2,11,5853.96,34.5
2019,2,12,5915.84,34.7
2019,2,13,5351.36,38.5
2019,2,14,5063.24,39.6
2019,2,15,3733.52,52
2019,2,16,4553.64,41.1
2019,2,17,5598.88,32.9
2019,2,18,5387.2,37.7
2019,2,19,6202.28,31.1
2019,2,20,6477.52,31
2019,2,21,4602.36,43
2019,2,22,4588.08,43.1
2019,2,23,5061.56,37.6
2019,2,24,4384.8,44.5
2019,2,25,4845.4,39.4
2019,2,26,5665.52,33.7
2019,2,27,6106.79,30.7
2019,2,28,5171.63,34.5
2019,3,1,5826.24,33.3
2019,3,2,5260.08,36.8
2019,3,3,4975.6,38.1
2019,3,4,5554.08,34.5
2019,3,5,7133,24.5
2019,3,6,7483,20.5
2019,3,7,7228.2,24
2019,3,8,6072.36,29.7
2019,3,9,4442.76,38
2019,3,10,4371.36,39.5
2019,3,11,3695.44,46.1
2019,3,12,4859.12,38
2019,3,13,4713.8,38.1
2019,3,14,3186.4,51.3
2019,3,15,1743,63.7
2019,3,16,3205.72,46
2019,3,17,4444.16,36.9
2019,3,18,4955.16,36.4
2019,3,19,4539.92,38.3
2019,3,20,4119.92,40.5
2019,3,21,4435.48,44.4
2019,3,22,4381.02,42.9
2019,3,23,4161.36,41.5
2019,3,24,3551.1,47.6
2019,3,25,2930.06,47.8
2019,3,26,2259.04,39.5
2019,3,27,2466.38,37.8
2019,3,28,3786.16,42.8
2019,3,29,3926.02,51.6
2019,3,30,3678.64,60
