Year,Month,Day,EnergyUse,Temp,Humidity,dew,windspeed,windgust,solarradiation,solarenergy,uvindex,cloudcover,winddir
2019,1,1,2097.48,52.6,69.5,42.2,22.2,45,48.4,4.3,3,71,285.4
2019,1,2,4228.28,38.6,67.8,28.7,10,16.3,48,4.2,2,81.3,100.5
2019,1,3,4975.88,39.7,69.7,30.3,13.5,25.7,39.6,3.5,2,44.4,322.1
2019,1,4,4933.6,37.8,76.5,30.9,10.2,20.4,42.1,3.6,2,13.2,217.1
2019,1,5,4079.6,44.1,90.5,41.4,13.4,25.3,17.5,1.6,1,70.4,3.1
2019,1,6,4343.36,42.6,61.3,29.3,19,33.1,39.3,3.4,2,48.2,307.2
2019,1,7,5840.24,31,49.2,13.7,11,18.1,41.7,3.7,3,20.7,10.9
2019,1,8,4935.84,37.2,90.1,34.5,7.3,28.9,20.7,1.9,1,89.7,48.8
2019,1,9,4575.76,41.7,56.5,26.5,18.4,32.4,43.2,3.9,4,52.8,293.5
2019,1,10,5902.4,33.2,50.5,16.7,24.4,34.7,45.9,4.1,2,60.5,306.4
2019,1,11,6305.88,27.8,41.4,6.7,19.9,33,49.6,4.2,4,14.1,323.6
2019,1,12,6150.48,26.8,45.2,7.9,5.5,10.7,43.3,3.9,3,38.6,318.7
2019,1,13,6279.84,28.3,64.2,17,13.6,21,23.2,1.9,1,81.7,41.5
2019,1,14,6363.84,26.8,54.5,12.2,13.4,21.3,54.6,4.6,4,17.1,6.4
2019,1,15,6103.16,28.1,57.3,14.5,11.3,14.5,48.7,4.2,4,0.1,305.7
2019,1,16,6043.52,31.6,67.9,21.9,9.2,27.3,29.3,2.4,1,64,258.7
2019,1,17,6117.16,29.8,49.6,12.7,9.2,17.2,41.1,3.6,2,20.5,38
2019,1,18,5816.44,31.6,89.2,28.8,5.8,13.2,27.3,2.4,1,87.2,320.1
2019,1,19,5470.36,34.6,74.3,26.9,13.4,26.6,28.5,2.4,1,92.5,72.9
2019,1,20,5801.04,32.4,79.9,26.5,21.7,35.8,26.1,2.1,1,74.8,337.3
2019,1,21,8485.96,12.6,41.9,-6.6,22.9,37.6,63.7,5.5,4,8.2,305.8
2019,1,22,7392,21.1,46.7,3.2,14,21.9,65,5.6,5,0.3,291.7
2019,1,23,5400.92,36.9,61.1,24.5,13.8,34.4,53.1,4.5,4,57.8,188.1
2019,1,24,3563.28,51.6,85,47.2,23.8,35.6,11,1,1,91.3,208.9
