Year,Month,Day,Hour,EnergyUse,temp
2019,1,1,0,161.84,45.3
2019,1,1,1,135.52,47.4
2019,1,1,2,151.48,48.5
2019,1,1,3,106.68,54.3
2019,1,1,4,103.6,57.1
2019,1,1,5,98,59
2019,1,1,6,95.76,58.9
2019,1,1,7,86.24,58.9
2019,1,1,8,69.72,60
2019,1,1,9,62.72,60.1
2019,1,1,10,51.52,60.1
2019,1,1,11,42.28,56.9
2019,1,1,12,23.24,56.8
2019,1,1,13,20.44,56
2019,1,1,14,53.2,56
2019,1,1,15,63.28,53.9
2019,1,1,16,82.88,52
2019,1,1,17,92.96,48.7
2019,1,1,18,98.56,47.9
2019,1,1,19,99.12,46.8
2019,1,1,20,100.24,45.9
2019,1,1,21,98.28,44.9
2019,1,1,22,99.4,44.8
2019,1,1,23,100.52,42.8
2019,1,1,24,101.08,41.9
2019,1,1,25,102.48,40.7
2019,1,1,26,102.2,38.7
2019,1,1,27,102.76,35.9
2019,1,1,28,101.08,35.1
2019,1,1,29,105,36.9
2019,1,1,30,106.4,34.1
2019,1,1,31,117.88,35
2019,1,1,32,199.64,35
2019,1,1,33,327.04,36
2019,1,1,34,193.48,38
2019,1,1,35,203.84,39.8
2019,1,1,36,149.52,40.9
2019,1,1,37,204.4,42.1
2019,1,1,38,190.12,42.1
2019,1,1,39,211.68,41
2019,1,1,40,224.28,40.9
2019,1,1,41,199.08,40.8
2019,1,1,42,231.56,38.9
2019,1,1,43,196.56,38.9
2019,1,1,44,221.2,38
2019,1,1,45,229.88,38.8
2019,1,1,46,216.72,38.8
2019,1,1,47,190.4,38.9
2019,1,1,48,203.28,39.7
2019,1,1,49,204.96,38.9
2019,1,1,50,212.52,39.7
2019,1,1,51,197.4,38.9
2019,1,1,52,186.48,38.9
2019,1,1,53,222.88,39.8
2019,1,1,54,189.28,39
2019,1,1,55,232.4,39
2019,1,1,56,205.8,39.7
2019,1,1,57,187.88,41
2019,1,1,58,189.56,43.1
2019,1,1,59,171.92,44
2019,1,1,60,181.16,44.1
2019,1,1,61,201.6,44.1
2019,1,1,62,180.32,44
2019,1,1,63,201.88,44
2019,1,1,64,208.04,42.2
2019,1,1,65,200.48,40.8
2019,1,1,66,224.28,37.9
2019,1,1,67,227.36,35.9
2019,1,1,68,233.24,37.7
2019,1,1,69,245.84,35.9
2019,1,1,70,237.16,33.9
2019,1,1,71,230.16,30.8
2019,1,1,72,247.24,32.9
2019,1,1,73,241.08,32.8
2019,1,1,74,248.64,31.8
2019,1,1,75,238.56,29.9
2019,1,1,76,264.04,28.9
2019,1,1,77,245,28.1
2019,1,1,78,271.6,29
2019,1,1,79,252.56,29
2019,1,1,80,252.56,28.3
2019,1,1,81,219.8,32.1
2019,1,1,82,177.24,36
2019,1,1,83,155.4,39.8
2019,1,1,84,143.64,44
2019,1,1,85,169.68,46
2019,1,1,86,185.64,46.1
2019,1,1,87,172.2,46.1
2019,1,1,88,185.92,44.9
2019,1,1,89,178.92,43.1
2019,1,1,90,186.2,43
2019,1,1,91,158.48,43
2019,1,1,92,195.16,42.1
2019,1,1,93,193.48,43
2019,1,1,94,159.6,44
2019,1,1,95,190.96,43
2019,1,1,96,202.16,42.1
2019,1,1,97,162.4,42.1
2019,1,1,98,210,41
2019,1,1,99,159.04,42.2
2019,1,1,100,183.68,42.9
2019,1,1,101,165.48,43
2019,1,1,102,166.88,44
2019,1,1,103,168.28,44
2019,1,1,104,187.32,44.9
2019,1,1,105,167.44,45.9
2019,1,1,106,159.6,44.9
2019,1,1,107,119.84,45
2019,1,1,108,160.16,44.9
2019,1,1,109,150.92,45.9
2019,1,1,110,166.88,44.9
2019,1,1,111,176.4,44.9
2019,1,1,112,149.8,46
2019,1,1,113,159.32,46.8
2019,1,1,114,164.36,46
2019,1,1,115,156.8,44.9
2019,1,1,116,201.88,43.9
2019,1,1,117,165.2,43.8
2019,1,1,118,176.68,42.8
2019,1,1,119,199.08,42
2019,1,1,120,196,38.1
2019,1,1,121,230.16,39.7
2019,1,1,122,188.72,41
2019,1,1,123,211.96,42.1
2019,1,1,124,157.64,40.8
2019,1,1,125,172.76,38.8
2019,1,1,126,198.52,41
2019,1,1,127,197.96,42
2019,1,1,128,183.68,42.1
2019,1,1,129,144.48,44
2019,1,1,130,145.04,47
2019,1,1,131,112,47.9
2019,1,1,132,102.2,50
2019,1,1,133,96.04,51.9
2019,1,1,134,96.32,50.1
2019,1,1,135,148.12,48.8
2019,1,1,136,187.04,46.1
2019,1,1,137,207.48,43
2019,1,1,138,187.88,42
2019,1,1,139,254.24,40.7
2019,1,1,140,203.28,38.9
2019,1,1,141,266.84,37.1
2019,1,1,142,224.28,35.1
2019,1,1,143,230.72,34
2019,1,1,144,289.24,33
2019,1,1,145,234.36,31.8
2019,1,1,146,278.88,30.7
2019,1,1,147,257.32,29
2019,1,1,148,293.44,28.7
2019,1,1,149,248.36,26.8
2019,1,1,150,315.84,26.8
2019,1,1,151,265.16,26.8
2019,1,1,152,281.96,26.9
2019,1,1,153,223.72,28.1
2019,1,1,154,184.8,29.9
2019,1,1,155,180.04,32
2019,1,1,156,190.4,33.2
2019,1,1,157,181.72,33.3
2019,1,1,158,222.04,34
2019,1,1,159,217.84,34
2019,1,1,160,282.8,34
2019,1,1,161,206.92,33
2019,1,1,162,233.24,31.9
2019,1,1,163,261.8,31.9
2019,1,1,164,242.76,31.9
2019,1,1,165,269.64,31.8
2019,1,1,166,238.56,31.8
2019,1,1,167,239.4,31.9
2019,1,1,168,219.52,31.9
2019,1,1,169,243.6,33.1
2019,1,1,170,242.48,33.1
2019,1,1,171,250.6,31.9
2019,1,1,172,247.24,33
2019,1,1,173,213.92,33.2
2019,1,1,174,229.88,33.2
2019,1,1,175,244.16,33.2
2019,1,1,176,227.36,34.1
2019,1,1,177,203.56,34.2
2019,1,1,178,198.8,36.1
2019,1,1,179,194.6,37.2
2019,1,1,180,197.12,38.2
2019,1,1,181,183.4,39.1
2019,1,1,182,182.28,40
2019,1,1,183,175,41
2019,1,1,184,182.56,42.1
2019,1,1,185,199.36,41.1
2019,1,1,186,168.84,41
2019,1,1,187,175.84,40.9
2019,1,1,188,182.28,40.9
2019,1,1,189,192.36,41
2019,1,1,190,180.6,40.9
2019,1,1,191,200.48,42.1
2019,1,1,192,164.92,42.1
2019,1,1,193,193.2,42.2
2019,1,1,194,164.92,43.9
2019,1,1,195,196.56,44
2019,1,1,196,171.92,43.9
2019,1,1,197,198.52,43
2019,1,1,198,169.96,42.9
2019,1,1,199,219.52,42
2019,1,1,200,188.44,40.9
2019,1,1,201,189.56,43
2019,1,1,202,138.32,44
2019,1,1,203,117.04,44.9
2019,1,1,204,112,46.1
2019,1,1,205,177.24,46.1
2019,1,1,206,183.12,45
2019,1,1,207,206.64,44.1
2019,1,1,208,198.24,42.2
2019,1,1,209,237.16,42
2019,1,1,210,205.8,39.7
2019,1,1,211,214.2,37.9
2019,1,1,212,228.76,35.9
2019,1,1,213,236.88,35
2019,1,1,214,227.36,34.9
2019,1,1,215,235.48,34
2019,1,1,216,243.32,33
2019,1,1,217,247.24,33
2019,1,1,218,248.64,31.9
2019,1,1,219,257.6,31.9
2019,1,1,220,253.12,31.9
2019,1,1,221,262.08,31.9
2019,1,1,222,258.16,33
2019,1,1,223,262.36,31.9
2019,1,1,224,247.8,31.9
2019,1,1,225,259.28,33.1
2019,1,1,226,240.52,33.1
2019,1,1,227,223.16,33.2
2019,1,1,228,215.6,34.1
2019,1,1,229,250.04,35.1
2019,1,1,230,212.8,35.9
2019,1,1,231,211.68,35.9
2019,1,1,232,235.76,37
2019,1,1,233,231,35
2019,1,1,234,241.36,34.9
2019,1,1,235,250.6,33.9
2019,1,1,236,260.4,33
2019,1,1,237,265.16,30.8
2019,1,1,238,259.84,30.8
2019,1,1,239,264.88,30.7
2019,1,1,240,271.6,29.9
2019,1,1,241,267.4,29.8
2019,1,1,242,269.92,29.8
2019,1,1,243,278.88,28.9
2019,1,1,244,286.72,28
2019,1,1,245,285.04,26.1
2019,1,1,246,320.6,25
2019,1,1,247,309.4,21.8
2019,1,1,248,339.64,21.9
2019,1,1,249,253.68,24.2
2019,1,1,250,212.24,26.1
2019,1,1,251,182.84,28.1
2019,1,1,252,178.64,29.9
2019,1,1,253,192.36,30.8
2019,1,1,254,195.44,33
2019,1,1,255,229.04,33.1
2019,1,1,256,249.48,32
2019,1,1,257,256.2,29.9
2019,1,1,258,275.8,28.9
2019,1,1,259,282.8,28
2019,1,1,260,279.16,26.9
2019,1,1,261,297.64,25.8
2019,1,1,262,299.32,24.9
2019,1,1,263,292.04,24
2019,1,1,264,311.08,21.7
2019,1,1,265,292.04,20.8
2019,1,1,266,317.52,20
2019,1,1,267,299.04,20.1
2019,1,1,268,326.48,20
2019,1,1,269,331.8,19.9
2019,1,1,270,293.44,19
2019,1,1,271,320.6,19.9
2019,1,1,272,273,20
2019,1,1,273,233.24,23
2019,1,1,274,184.52,27
2019,1,1,275,160.16,28.9
2019,1,1,276,156.52,29.9
2019,1,1,277,178.92,31.8
2019,1,1,278,199.64,33
2019,1,1,279,210.28,33.1
2019,1,1,280,246.4,33
2019,1,1,281,260.96,32.9
2019,1,1,282,254.52,31.8
2019,1,1,283,268.24,30.7
2019,1,1,284,239.68,31.8
2019,1,1,285,274.12,31.8
2019,1,1,286,247.8,31.8
2019,1,1,287,270.48,31.7
2019,1,1,288,250.32,30.5
2019,1,1,289,264.04,28.8
2019,1,1,290,261.8,28
2019,1,1,291,264.6,28
2019,1,1,292,273.56,28
2019,1,1,293,257.32,26.9
2019,1,1,294,287.56,26.8
2019,1,1,295,262.64,26
2019,1,1,296,267.68,26
2019,1,1,297,254.24,26
2019,1,1,298,248.36,27
2019,1,1,299,258.44,28.1
2019,1,1,300,234.64,28.2
2019,1,1,301,253.4,29
2019,1,1,302,255.92,29.8
2019,1,1,303,242.2,30.7
2019,1,1,304,246.4,30.7
2019,1,1,305,273.84,29.9
2019,1,1,306,265.16,29.1
2019,1,1,307,257.6,29.8
2019,1,1,308,278.04,29.8
2019,1,1,309,272.72,29
2019,1,1,310,258.44,27
2019,1,1,311,290.92,26.2
2019,1,1,312,301.28,25.3
2019,1,1,313,290.36,25.1
2019,1,1,314,296.24,24.1
2019,1,1,315,306.88,24
2019,1,1,316,317.24,22.8
2019,1,1,317,312.2,21.7
2019,1,1,318,290.64,21.7
2019,1,1,319,334.88,21.6
2019,1,1,320,315,21.7
2019,1,1,321,275.24,22.9
2019,1,1,322,245,25.1
2019,1,1,323,180.88,28.1
2019,1,1,324,170.24,29.9
2019,1,1,325,190.68,32
2019,1,1,326,175.84,33.2
2019,1,1,327,194.32,34
2019,1,1,328,232.68,34.9
2019,1,1,329,249.48,31.8
2019,1,1,330,272.16,30.5
2019,1,1,331,284.48,28.6
2019,1,1,332,268.52,27.7
2019,1,1,333,289.8,27.6
2019,1,1,334,289.24,24
2019,1,1,335,280.56,24
2019,1,1,336,303.52,24.7
2019,1,1,337,301.84,23.9
2019,1,1,338,274.4,21
2019,1,1,339,301.84,21
2019,1,1,340,318.08,20.2
2019,1,1,341,300.16,19.4
2019,1,1,342,302.96,20.2
2019,1,1,343,328.72,20.3
2019,1,1,344,285.04,23
2019,1,1,345,220.36,27.1
2019,1,1,346,194.32,30
2019,1,1,347,165.76,33.2
2019,1,1,348,168.56,35.1
2019,1,1,349,183.68,36
2019,1,1,350,195.16,36
2019,1,1,351,196,36
2019,1,1,352,224.28,36
2019,1,1,353,245.56,33.9
2019,1,1,354,252,31.9
2019,1,1,355,276.64,30.6
2019,1,1,356,244.16,30.6
2019,1,1,357,266.56,28
2019,1,1,358,272.44,27.8
2019,1,1,359,281.12,28.5
2019,1,1,360,271.6,25.7
2019,1,1,361,295.96,24.9
2019,1,1,362,296.8,24
2019,1,1,363,270.76,22.9
2019,1,1,364,304.64,24
2019,1,1,365,276.92,22.9
2019,1,1,366,303.8,24.1
2019,1,1,367,269.08,25
2019,1,1,368,295.4,26.9
2019,1,1,369,237.72,29.9
2019,1,1,370,243.88,33
2019,1,1,371,196.28,34
2019,1,16,12,215.88,35.9
2019,1,16,13,218.68,37
2019,1,16,14,220.08,37.1
