Year,Month,Day,NetEnergyUse,EnergyUseIn,EnergyUseOut
2019,1,1,1564.85,1370.46,-194.39
2019,1,2,1753.71,1640.03,-113.68
2019,1,3,1821.54,1820.21,-1.33
2019,1,4,1744.54,1720.04,-24.5
2019,1,5,1841,1841,0
2019,1,6,2020.27,1656.41,-363.86
2019,1,7,2028.11,1706.53,-321.58
2019,1,8,2118.97,2118.97,0
2019,1,9,2014.04,1625.89,-388.15
2019,1,10,1841,1805.16,-35.84
2019,1,11,2107.84,1631.14,-476.7
2019,1,12,2016,1558.76,-457.24
2019,1,13,1992.55,1992.55,0
2019,1,14,2163.63,1690.71,-472.92
2019,1,15,2110.64,1738.94,-371.7
2019,1,16,2240.7,2240.7,0
2019,1,17,1881.6,1773.94,-107.66
2019,1,18,1932.49,1932.49,0
2019,1,19,1712.13,1712.13,0
2019,1,20,1774.92,1678.67,-96.25
2019,1,21,2426.62,1673.98,-752.64
2019,1,22,2272.62,1691.2,-581.42
2019,1,23,2087.4,1973.44,-113.96
2019,1,24,2125.34,2125.34,0
2019,1,25,1941.03,1580.18,-360.85
2019,1,26,1858.5,1532.79,-325.71
2019,1,27,1747.9,1506.75,-241.15
2019,1,28,1771.77,1654.59,-117.18
2019,1,29,2271.85,2271.85,0
2019,1,30,2199.4,1896.3,-303.1
2019,1,31,2190.3,1795.5,-394.8
2019,2,1,2045.82,2039.45,-6.37
2019,2,2,2076.34,1726.55,-349.79
2019,2,3,1916.39,1532.37,-384.02
2019,2,4,1887.34,1535.38,-351.96
2019,2,5,1876.35,1558.2,-318.15
2019,2,6,1769.67,1623.09,-146.58
2019,2,7,1947.54,1946.28,-1.26
2019,2,8,2007.11,1897.98,-109.13
2019,2,9,2187.64,1520.89,-666.75
2019,2,10,1865.57,1553.51,-312.06
2019,2,11,2114.63,2110.5,-4.13
2019,2,12,2386.79,2386.79,0
2019,2,13,2003.68,1957.13,-46.55
2019,2,14,1998.99,1537.34,-461.65
2019,2,15,1866.2,1563.24,-302.96
2019,2,16,2096.5,1261.05,-835.45
2019,2,17,1798.65,1433.11,-365.54
2019,2,18,1828.61,1693.44,-135.17
2019,2,19,2126.46,1548.26,-578.2
2019,2,20,2375.1,2375.1,0
2019,2,21,2121.42,1601.88,-519.54
2019,2,22,1510.81,1421.56,-89.25
2019,2,23,1545.88,1461.18,-84.7
2019,2,24,1765.33,1764.7,-0.63
2019,2,25,2186.17,1405.11,-781.06
2019,2,26,2133.04,1525.16,-607.88
2019,2,27,1738.24,1653.4,-84.84
2019,2,28,2139.21,1428.01,-711.2
2019,3,1,2042.18,2042.18,0
2019,3,2,1552.88,1522.99,-29.89
2019,3,3,1666.28,1495.48,-170.8
2019,3,4,2258.69,2258.69,0
2019,3,5,2276.26,2276.26,0
2019,3,6,2188.41,2119.11,-69.3
2019,3,7,1996.47,1939.84,-56.63
2019,3,8,1894.62,1609.23,-285.39
2019,3,9,2351.44,1275.89,-1075.55
2019,3,10,1867.46,1867.46,0
2019,3,11,2127.65,1344,-783.65
2019,3,12,2232.79,1347.5,-885.29
2019,3,13,1890.21,1456.56,-433.65
2019,3,14,1896.79,1247.33,-649.46
2019,3,15,1592.01,1148.28,-443.73
2019,3,16,2441.11,1282.4,-1158.71
2019,3,17,2484.37,1186.22,-1298.15
2019,3,18,1994.93,1352.4,-642.53
2019,3,19,2342.62,1332.24,-1010.38
