Year,Month,Day,Hour,EnergyUseIn,EnergyUseOut,NetEnergyUse
2019,1,1,0,72.87,0,72.87
2019,1,1,1,75.74,0,75.74
2019,1,1,2,77.56,0,77.56
2019,1,1,3,73.5,0,73.5
2019,1,1,4,71.26,0,71.26
2019,1,1,5,73.43,0,73.43
2019,1,1,6,74.48,0,74.48
2019,1,1,7,71.26,0,71.26
2019,1,1,8,62.16,0,62.16
2019,1,1,9,42.98,0,42.98
2019,1,1,10,10.15,-0.35,10.5
2019,1,1,11,0.35,-10.5,10.85
2019,1,1,12,0,-78.82,78.82
2019,1,1,13,4.13,-103.39,107.52
2019,1,1,14,29.68,-1.33,31.01
2019,1,1,15,40.04,0,40.04
2019,1,1,16,74.06,0,74.06
2019,1,1,17,69.72,0,69.72
2019,1,1,18,75.95,0,75.95
2019,1,1,19,74.06,0,74.06
2019,1,1,20,71.89,0,71.89
2019,1,1,21,77.91,0,77.91
2019,1,1,22,70.35,0,70.35
2019,1,1,23,76.93,0,76.93
2019,1,2,0,73.22,0,73.22
2019,1,2,1,75.67,0,75.67
2019,1,2,2,77.21,0,77.21
2019,1,2,3,73.43,0,73.43
2019,1,2,4,77.56,0,77.56
2019,1,2,5,78.82,0,78.82
2019,1,2,6,79.17,0,79.17
2019,1,2,7,100.87,0,100.87
2019,1,2,8,105.28,0,105.28
2019,1,2,9,45.99,0,45.99
2019,1,2,10,3.85,-18.34,22.19
2019,1,2,11,0,-40.11,40.11
2019,1,2,12,0,-54.88,54.88
2019,1,2,13,16.8,-0.35,17.15
2019,1,2,14,62.37,0,62.37
2019,1,2,15,103.11,0,103.11
2019,1,2,16,91.35,0,91.35
2019,1,2,17,80.99,0,80.99
2019,1,2,18,80.36,0,80.36
2019,1,2,19,84.56,0,84.56
2019,1,2,20,83.23,0,83.23
2019,1,2,21,79.45,0,79.45
2019,1,2,22,82.6,0,82.6
2019,1,2,23,84.14,0,84.14
2019,1,3,0,78.54,0,78.54
2019,1,3,1,84.77,0,84.77
2019,1,3,2,80.43,0,80.43
2019,1,3,3,80.43,0,80.43
2019,1,3,4,86.38,0,86.38
2019,1,3,5,78.54,0,78.54
2019,1,3,6,89.53,0,89.53
2019,1,3,7,109.69,0,109.69
2019,1,3,8,98.7,0,98.7
2019,1,3,9,74.34,0,74.34
2019,1,3,10,51.73,0,51.73
2019,1,3,11,22.75,-0.63,23.38
2019,1,3,12,26.18,-0.7,26.88
2019,1,3,13,48.3,0,48.3
2019,1,3,14,59.29,0,59.29
2019,1,3,15,85.12,0,85.12
2019,1,3,16,93.31,0,93.31
2019,1,3,17,84.49,0,84.49
2019,1,3,18,75.67,0,75.67
2019,1,3,19,85.75,0,85.75
2019,1,3,20,78.82,0,78.82
2019,1,3,21,83.86,0,83.86
2019,1,3,22,81.9,0,81.9
2019,1,3,23,81.69,0,81.69
2019,1,4,0,86.38,0,86.38
2019,1,4,1,82.32,0,82.32
2019,1,4,2,88.62,0,88.62
2019,1,4,3,83.16,0,83.16
2019,1,4,4,90.16,0,90.16
2019,1,4,5,83.23,0,83.23
2019,1,4,6,96.11,0,96.11
2019,1,4,7,108.43,0,108.43
2019,1,4,8,95.55,0,95.55
2019,1,4,9,38.78,0,38.78
2019,1,4,10,3.22,-1.68,4.9
2019,1,4,11,0,-22.12,22.12
2019,1,4,12,6.72,-0.7,7.42
2019,1,4,13,31.29,0,31.29
2019,1,4,14,77.56,0,77.56
2019,1,4,15,82.32,0,82.32
2019,1,4,16,92.4,0,92.4
2019,1,4,17,86.03,0,86.03
2019,1,4,18,78.82,0,78.82
2019,1,4,19,87.64,0,87.64
2019,1,4,20,79.1,0,79.1
2019,1,4,21,81.69,0,81.69
2019,1,4,22,82.32,0,82.32
2019,1,4,23,78.19,0,78.19
2019,1,5,0,83.23,0,83.23
2019,1,5,1,79.1,0,79.1
2019,1,5,2,80.36,0,80.36
2019,1,5,3,82.95,0,82.95
2019,1,5,4,76.3,0,76.3
2019,1,5,5,84.77,0,84.77
2019,1,5,6,81.34,0,81.34
2019,1,5,7,78.82,0,78.82
2019,1,5,8,81.62,0,81.62
2019,1,5,9,71.26,0,71.26
2019,1,5,10,70.28,0,70.28
2019,1,5,11,44.45,0,44.45
2019,1,5,12,53.27,0,53.27
2019,1,5,13,73.15,0,73.15
2019,1,5,14,75.04,0,75.04
2019,1,5,15,72.24,0,72.24
2019,1,5,16,84.77,0,84.77
2019,1,5,17,77.84,0,77.84
2019,1,5,18,82.25,0,82.25
