Year,Month,NetEnergyUse,EnergyUseIn,EnergyUseOut,Temp,Humidity
2019,1,61573.26,54956.65,-6616.61,32.39677419,61.79677419
2019,2,55315.48,47060.66,-8254.82,37.16071429,59.975
2019,3,50015.04,37519.51,-12495.53,40.75483871,58.38064516
2019,4,15520.81,8731.17,-6789.64,55.5,63.42
2019,5,61112.9,33658.12,-27454.78,62.6,74.48709677
2019,6,57594.07,30840.89,-26753.18,71.07,69.29666667
2019,7,59923.78,36340.41,-23583.37,77.99354839,72.3483871
2019,8,56758.98,38159.91,-18599.07,74.10967742,74.31935484
2019,9,52211.95,34903.01,-17308.94,68.81666667,71.45666667
2019,10,52979.2,39689.03,-13290.17,58.50322581,74.18387097
2019,11,53872.46,43920.1,-9952.36,41.19,63.64666667
2019,12,60216,55640.99,-4575.01,36.75806452,73.32580645
2020,1,59451.77,50153.02,-9298.75,37.43870968,65.84516129
2020,2,59606.79,42918.46,-16688.33,38.64827586,64.99655172
2020,3,67870.08,39105.22,-28764.86,46.42903226,64.01290323
2020,4,66671.65,32106.14,-34565.51,49.25,62.03666667
2020,5,70987.02,29518.79,-41468.23,59.36451613,63.68387097
2020,6,59579.04,31536.56,-28042.48,71.91,66.49333333
2020,7,57969.93,36989.98,-20979.95,78.95483871,71.12258065
2020,8,48868.05,37503.18,-11364.87,75.2,75.65483871
2020,9,45614.8,34071.79,-11543.01,66.49666667,74.58666667
2020,10,46883.98,39119.54,-7764.44,56.2483871,80.4
2020,11,54263.13,41479.5,-12783.63,49.47333333,69.41333333
2020,12,60397.16,54626.72,-5770.44,36.52580645,71.17419355
2021,1,59979.68,51071.54,-8908.14,33.29032258,65.21935484
2021,2,61535.06,57710.68,-3824.38,32.1,69.1
2021,3,60981.96,39365.18,-21616.78,44.70645161,56.30322581
2021,4,47517.64,31947.02,-15570.62,52.96333333,58.07333333
2021,5,46372.26,30071.95,-16300.31,61.00322581,60.9516129
2021,6,44992.06,32999.77,-11992.29,72.37,72.64
2021,7,52367.89,39147.3,-13220.59,75.41612903,76.23870968
2021,8,52490.11,42520.33,-9969.78,75.68709677,77.89354839
2021,9,53009.32,39161.06,-13848.26,68.46666667,76.48666667
2021,10,51603.15,38162.39,-13440.76,60.88387097,81.33548387
2021,11,57096.48,43074.66,-14021.82,43.43666667,67.75333333
2021,12,55778.87,47909.58,-7869.29,41.73870968,68.91290323
2022,1,63543.6,56194.01,-7349.59,28.5483871,64.3483871
2022,2,61144.27,45346.05,-15798.22,35.79642857,65.375
2022,3,62525.87,39945.8,-22580.07,44.28064516,61.66129032
2022,4,50011.13,29977.19,-20033.94,51.08,59.03333333
2022,5,48244.45,28449.41,-19795.04,63.23225806,72.13225806
2022,6,51127.21,30515.11,-20612.1,70.27333333,67.7
2022,7,53774.5,36839.2,-16935.3,78.71290323,65.59677419
2022,8,53843.67,37856.4,-15987.27,76.95483871,67.70967742
2022,9,46772,32530.88,-14241.12,67.15,70.74333333
2022,10,42429.68,37245.76,-5183.92,53.59677419,76.59354839
2022,11,49593.15,40598.06,-8995.09,47.42333333,67.38666667
2022,12,54222.98,51340.48,-2882.5,35.52580645,68.9483871
2023,1,51230,49149,-2081,40.86129032,72.30322581
2023,2,46951,39283,-7668,39.08571429,62.93571429
2023,3,44023,33657,-10366,42.49354839,60.4516129
2023,4,40321,30161,-10160,55.56,63.07
2023,5,38443,25977,-12466,60.26129032,58.45806452
2023,6,36158,28486,-7672,68.05666667,66.91333333
2023,7,44251,37064,-7187,76.8516129,74.09677419
2023,8,63663,30829,-32834,72.87741935,72.99032258
2023,9,65083,33472,-31611,67.25333333,77.31
2023,10,52714,28769,-23945,57.55806452,75.0483871
2023,11,54935,37805,-17130,43.15,65.31333333
2023,12,47463,44674,-2789,41.30645161,74.35806452
2024,1,51137,49826,-1311,34.42258065,71.61935484
2024,2,55614,35059,-20555,37.76551724,63.64482759
2024,3,1260,33875,32615,46.03225806,62.55806452
2024,4,61084,24643,-36441,53.15666667,65.57666667
2024,5,57841,24956,-32885,63.59677419,74.33870968
2024,6,70756,25024,-45732,74.37666667,62.58666667
2024,7,3167,37661,34494,78.43548387,69.64516129
2024,8,0,0,0,73.49032258,73.56451613
2024,9,57644,30764,-26880,66.51333333,74.06
2024,10,0,0,0,58.11935484,58.78387097
2024,11,43933,34207,-9726,48.99333333,62.72
2024,12,54771,49966,-4805,35.73225806,69.1483871
